t,xx,yy,zz
85,3.483341992,2.515634427,6.43629033
86,3.162061511,2.045563591,6.40452091
87,0.134522794,1.89782726,8.166592052
88,0.262213461,1.087142986,6.214272639
89,0.835900241,1.298788489,5.822505882
90,-0.232336729,1.845675421,5.001103334
91,1.437013603,0.728646661,5.809724396
92,0.46429675,0.660402275,4.081561082
93,-1.694545366,0.726002023,3.336472317
94,1.602631121,2.118121706,3.445989177
95,1.123685558,2.736738979,3.565774102
96,-1.044580042,2.630162595,3.975591745
97,0.447579485,2.435697345,3.669807545
98,0.13223197,0.894186608,5.66567439
99,-1.110126511,1.726639449,3.96620866
100,-0.866045441,1.097481698,2.722060952
101,0.733679104,3.467047537,4.637994902
102,0.4091123,2.661788219,5.88255028
103,-2.140127985,1.948911806,5.458321767
104,-6.367372721,1.075635426,4.537303744
105,-5.214819792,2.903852266,4.611393402
106,-4.976014316,2.651941822,5.409277417
107,-4.754675153,3.588835154,5.53084209
108,-3.691002097,2.019677458,7.519852097
109,-2.687432198,1.472611003,6.203610468
110,-3.373744577,0.294554583,4.10277125
111,-1.735908551,0.132214729,3.846823145
112,1.121161388,1.702398449,4.151516591
113,0.536167799,1.328021617,4.120313116
114,1.766539156,0.725018669,3.064699842
115,4.21817453,1.892163567,2.110850784
116,3.693814301,3.779808462,3.135191199
117,3.485645103,3.36040475,3.75790831
118,5.222838437,2.277894635,3.257859098
119,3.665827964,1.911600856,4.090040721
120,4.269971003,2.162424944,3.579586016
121,9.869346326,1.22507549,3.229227649
122,5.212109102,2.853613513,2.559819557
123,6.994607504,2.318477864,5.235684441
124,6.473920211,2.02195962,4.020288664
125,7.089846493,1.250602299,4.490879215
126,6.395951162,0.999818737,3.56932777
127,5.59471665,0.855955882,3.338524714
128,1.299890764,2.697677889,3.493864611
129,-1.160531697,3.469174018,5.06987156
130,-1.999124927,2.814781917,4.294096976
131,-2.370083796,1.949230024,4.219026715
132,-3.316853773,1.91161545,5.604293202
133,-1.886952905,4.131209789,7.603464218
134,-14.11866831,3.258695888,6.432810639
135,-9.393338416,2.392307257,6.744060763
136,-5.273129783,3.019628084,7.763099302
137,-4.728322479,3.298049088,6.594579413
138,-5.557665103,3.658277408,6.753592554
139,-4.974761065,3.235596885,7.355570848
140,-9.086800551,3.193084585,7.654243584
141,-9.323463196,1.067684112,7.922267003
142,-13.5161152,1.633405447,6.734048129
143,-10.84001164,1.761528324,6.367249298
144,-9.073956652,1.954089295,7.606136922
145,-5.495943198,1.648812128,7.15656323
146,-4.52159007,2.822552362,7.905796413
147,1.21006295,3.621049764,7.528622881
148,-0.813525541,5.037217565,8.497796582
149,-2.067711146,5.89290414,8.588222572
150,-0.923939384,4.646016485,11.01566771
151,0.515238859,3.036969352,10.20295024
152,1.265315221,1.687339843,8.395249581
153,2.337551193,1.243978357,7.744646522
154,2.72030355,-0.643425648,6.415659692
155,3.155040513,1.286277093,7.125539175
156,4.589018506,2.701569957,7.455839798
157,4.1592065,0.664368571,6.223636869
158,6.84388142,0.613011543,5.876598873
159,6.367870598,0.823436746,3.775409203
160,4.371004028,2.76084143,4.806788329
161,3.206673255,2.670019274,6.459082015
162,3.632657601,1.030239204,6.73102535
163,3.310178025,0.698255067,6.395317826
164,3.818819122,0.927956592,6.050941245
165,-2.868426634,2.48508723,5.71234088
166,-0.912582078,3.257119698,4.983990095
167,2.051840743,2.058379348,6.848511923
168,5.10734761,2.318253517,4.663519806
169,5.292745081,0.75874001,4.289198486
170,2.52803279,1.896897411,3.973272183
171,0.924483083,2.45201566,5.229155518
172,4.712793688,3.887465791,5.964085251
173,0.235441482,3.169244147,5.026924678
174,0.591793479,2.817798497,5.090449906
175,0.655945579,1.498449365,5.017436692
176,1.571035283,2.563857728,3.166696087
177,0.654096941,1.867421123,3.798366824
178,-0.220034873,0.913987216,4.022964856
179,0.257923748,1.551220972,3.767279982
180,-1.764900783,-0.880043514,5.502679743
181,-1.111957077,-0.321329717,4.52173106
182,-0.390844234,0.548835689,4.516325904
183,-2.369505952,1.701844429,3.932646471
184,-2.028645941,2.069458872,3.208627178
185,-1.698783139,2.805544222,3.418905537
186,-0.491235034,4.880654309,3.287928281
187,-0.140523182,3.452470773,5.718835814
188,0.3822315,3.426862088,5.892014731
189,0.715746187,1.902022719,6.265829644
190,-1.306072164,1.81710849,4.251563397
191,-0.091952711,1.80652701,4.501638439
192,-1.990325982,1.939295304,3.55057006
193,-3.877929632,2.333639991,5.268015779
194,-0.653676982,2.589784397,4.434821182
195,1.267589761,1.877203608,5.042217313
196,-0.21353088,1.166996894,2.719998544
197,-2.073299841,2.201148646,2.233501318
198,-3.163737751,1.467243782,4.149937042
199,1.33279296,0.752925717,4.628104516
200,2.240997429,-0.233634877,3.362529711
201,0.563380351,0.262899567,1.436317118
202,1.630377995,0.049281432,1.062565911
203,3.631341152,1.205192971,-0.498618816
204,4.929731234,0.993880841,0.820340915
205,3.407994824,0.656907428,1.208393078
206,0.649162295,1.45206377,1.698335069
207,7.188793941,2.169702318,2.163620642
208,7.708208409,1.605115109,0.170241318
209,8.286396043,1.530639558,1.321333743
210,7.887523795,2.106846532,1.453304639
211,4.295348485,3.754295482,3.023149332
212,6.858963768,3.254322696,5.54722712
213,5.552520616,2.059559666,5.41980751
214,3.023956794,4.339144246,6.095478153
215,3.648621426,5.170969394,6.163777292
216,2.494399795,3.929161774,7.820344886
217,1.036847786,3.550451787,7.351552509
218,-0.598992624,3.004575525,6.634451885
219,-0.078005704,3.315906193,8.058469751
220,2.177223105,0.596146639,8.616009023
221,3.915486377,-0.32374185,7.252389422
222,3.081733837,0.933283343,5.647328661
223,0.77177909,0.508184383,4.948676617
224,6.004579009,1.294547769,5.187296282
225,6.128761162,-0.646153546,2.620403483
226,8.106141415,1.478094859,3.200787002
227,7.518084801,1.96995535,4.112500435
228,2.521780628,2.796143663,2.011771929
229,0.682575491,3.567577661,2.877923823
230,2.112081511,3.227921193,3.873750341
231,0.518708616,3.631509789,4.642128826
232,0.546079601,3.560560618,5.312319369
233,2.00100132,1.899605224,6.856576101
234,3.029481823,2.570623668,8.30217484
235,1.406084799,2.3645905,9.019782107
236,1.189740228,4.130632404,8.722229827
237,3.371015549,2.06849157,8.417887887
238,3.484161617,1.733902859,7.849037702
239,-1.29132046,3.426036979,7.34875164
240,2.868513631,3.271230541,7.486724443
241,3.277566413,2.810312087,7.930721954
242,2.379927103,3.795433157,8.263928372
243,4.530245322,3.86964553,9.465697087
244,2.909050344,4.123525142,9.233874935
245,2.976583956,5.013348813,9.573517316
246,-0.966121959,3.903560002,11.4731316
247,2.067783843,4.526575907,10.47872448
248,0.868621101,2.795532135,9.088821381
249,5.815250824,2.638719687,8.880625496
250,6.581553166,2.711218468,9.059819536
251,4.544833411,1.795960082,7.474968968
252,5.455035042,2.783957113,7.902457552
253,9.952153539,0.939603442,7.170429753
254,8.338185429,0.261774587,3.961990554
255,9.241098625,0.833362342,3.269952622
256,6.066271118,0.985984372,3.209628871
257,4.398794475,2.072654225,3.521562351
258,3.04012745,1.334422114,2.967692429
259,2.770262417,1.302292687,3.297561519
260,1.355838255,0.371924528,2.801471998
261,-0.437250387,1.72761443,2.614027417
262,2.272407498,1.010909433,2.482268034
263,3.627105117,2.322285149,3.350372205
264,2.808463189,3.362275404,4.345133977
265,3.142553002,3.263867879,4.747593472
266,2.930846185,3.390078185,5.128608503
267,7.144925764,1.452489224,5.493853751
268,1.166095843,3.462593675,6.469106564
269,-4.348636505,4.089068962,7.598484647
270,-6.895584472,2.753791095,7.747829566
271,-4.111096496,2.15440566,7.046073674
272,-3.89589993,2.712251246,5.783099971
273,-3.209438969,3.264942004,7.066864372
274,-2.181107014,1.586837044,7.536412278
275,-1.461393328,4.041012583,7.020066648
276,-1.178059533,4.17361305,7.143857879
277,-1.425217319,4.532240553,8.373423847
278,-2.564452854,5.324483779,8.0686646
279,-2.940124858,4.175840759,8.599129622
280,-8.867874653,3.225823662,8.307464773
281,-6.272500569,1.924232983,8.560796535
282,-2.694594759,0.759382374,8.900154787
283,-7.769663836,-0.154638924,7.240376406
284,-4.955124694,0.92474204,6.43458829
285,-12.76990909,0.845572764,5.595357723
286,-9.78062029,2.053165087,3.798071872
287,-8.735552203,1.155475849,4.136162456
288,-10.3152883,0.864051116,5.060133812
289,-5.184714418,1.778089645,4.750951461
290,-3.552726524,0.236905434,4.262376824
291,-3.893105909,0.349417935,3.335797064
292,-1.961333174,-0.436966672,2.964568307
293,0.489941945,-0.844833111,1.625682361
294,-1.637941416,0.290042652,0.245130656
295,-1.895912174,1.286021262,-0.739847609
296,0.156590865,-1.409559796,-0.348248666
297,-2.760151323,0.35384797,-1.003896038
298,-2.784254497,1.251819834,-1.577629055
299,-1.960395016,1.249125277,-2.526428399
300,-0.69341066,2.555568585,0.732016069
301,5.712295504,3.36291027,2.159513482
302,4.869844302,2.820706847,1.95283048
303,2.022750988,3.264880137,3.008705815
304,3.365508996,2.12867317,2.495395085
305,-3.022311978,1.690308723,2.160771203
306,3.188529669,1.286185585,1.293145808
307,5.673455908,3.087919393,2.168620846
308,3.7305825,3.736488652,1.11947659
309,5.581579763,2.662344227,1.983497212
310,4.664268638,1.140714779,4.02646313
311,1.76451963,-0.116781574,3.670668269
312,4.635865567,1.264689184,3.302057319
313,4.861948131,0.510026951,3.909228762
314,1.485331109,1.027606948,2.419060566
315,3.501877719,-0.168724184,4.023238776
316,2.586204337,-0.296610074,1.160575443
317,-0.011757695,0.825632311,1.236073929
318,-0.469579962,-0.275891718,-0.857937292
319,0.214674421,0.19057328,0.227728341
320,-0.115745322,1.269525331,-0.00192581
321,-1.466475214,0.5544795,0.641546754
322,-2.203346855,1.045488997,1.438389878
323,-0.524377223,0.836044348,2.412646103
324,1.751534409,0.254419516,1.783576051
325,2.277842927,1.418908185,2.720687682
326,2.219588507,-0.445268972,2.406705959
327,3.230442625,0.797090731,0.501365798
328,2.453212625,1.538589112,0.153797782
329,1.596103781,2.59726539,1.712087805
330,-0.379334922,3.087138068,3.014177528
331,-0.451112275,3.524645082,5.530932513
332,3.068686484,4.933499573,6.749855801
333,3.502922377,1.704398611,7.221992991
334,1.950188912,1.898640236,6.543272045
335,2.10401332,2.397336786,7.31854967
336,1.355383711,1.66015332,6.617564339
337,-1.231955839,2.059949533,5.718600797
338,-1.593403989,2.033232056,3.760885839
339,-1.069176514,0.803362718,2.422756785
340,0.142415523,0.208730206,1.42242931
341,1.626883473,1.028416287,2.293876187
342,0.647670062,0.492507872,1.180170252
343,0.683157764,-0.196933349,0.482391041
344,0.994877208,0.123117588,0.677079162
345,2.57442995,0.264857469,-1.475927723
346,3.217249154,0.593965953,0.056760312
347,6.169865232,2.107377436,-0.052751336
348,5.018353539,0.427387661,2.891994949
349,4.174223423,0.63674942,2.385600639
350,4.467626485,1.366298783,0.813331968
351,2.777756258,0.728190037,-0.354139166
352,3.626362666,0.316638412,-0.013769565
353,2.076265736,-0.64306257,0.300698323
354,0.570095512,0.33920023,-0.856735578
355,0.571629198,0.963765103,0.265733082
356,-1.767459085,2.235730826,0.809753277
357,-4.124433209,1.971374784,1.654856983
358,-1.301530659,3.321424105,3.815261688
359,-0.142510698,3.659398441,4.68913622
360,2.492797183,3.434820343,6.077695083
361,-0.142275998,1.862700946,4.618366821
362,-0.222530323,2.44572069,3.359723671
363,-3.476998054,2.213688171,4.149865595
364,-3.307111182,2.61344911,4.776597892
365,-2.681351369,1.596560571,5.849079788
366,-4.14616486,3.356226166,6.839725255
367,-0.04957951,0.905707415,7.901908606
368,-0.396665576,1.077939244,7.258300117
369,13.13549983,1.876590707,6.439987051
370,11.03211928,1.738350297,7.039919916
371,9.844169963,2.428447131,7.659241634
372,8.328212346,4.582839687,8.69030722
373,6.170739745,3.915368938,7.197070382
374,10.78840751,5.93247226,8.062410634
375,8.972749355,7.027465297,10.48597224
376,10.15666819,6.957655907,12.25938252
377,12.57278228,5.881829889,13.6438781
378,11.52376494,4.431160223,13.68533283
379,10.21626548,4.614646492,13.27551785
380,16.61407304,1.69257005,12.12956634
381,10.30546409,2.224589641,11.29993656
382,16.67844672,2.673780566,8.723052437
383,7.814404776,2.740388454,9.349233692
384,5.883193089,3.694850599,9.01795541
385,3.778458441,2.764502833,10.38452868
386,0.407176887,0.767223938,8.772786711
387,2.57389248,1.494518836,5.995822148
388,0.342599716,1.825791047,7.419173599
389,1.318916199,1.77399308,6.581387997
390,-1.935708907,2.21670687,6.028362568
391,-2.381460018,2.865095183,7.037840046
392,-1.272569737,2.508258289,5.94113435
393,-3.600135876,0.937560075,5.045886973
394,-6.632976536,1.953672553,2.876695085
395,-7.625857113,-0.018754372,2.088628593
396,-4.692507104,0.881266788,0.908357677
397,-3.836232316,2.003635789,1.75135893
398,-3.395517963,1.731905434,3.132825411
399,0.112203758,2.100698966,3.063327691
400,1.566738226,2.201604211,4.188034492
401,-0.53815249,2.397406293,3.93041297
402,-2.725762463,3.03338661,5.699425246
403,-2.981190914,2.899645183,6.296582955
404,5.865987251,2.454126548,8.526260738
405,3.187995803,2.494204115,7.979963645
406,3.516707041,-0.261974921,5.385513996
407,-3.977910918,0.238944354,4.350913752
408,-0.002366315,0.944133507,4.466932439
409,2.76212508,0.966741046,5.146010846
410,2.049781375,0.255202689,3.170943503
411,1.171065651,-0.550344295,3.003766524
412,3.851741362,0.031839051,2.856403367
413,0.609813355,0.254580914,1.656101213
414,4.487584963,0.309854065,-0.425618159
415,2.626571743,-0.452717415,-1.912065452
416,-3.149465027,1.237420081,-2.009530978
417,-5.566337961,2.15565391,0.694563048
418,-5.500547037,1.817182928,1.846748168
419,-2.949658932,0.02096053,1.079708548
420,-1.194922262,0.57088722,1.17642228
421,1.743210756,0.140222937,3.559954249
422,0.798207543,0.139765917,2.841842273
423,-3.37191043,1.247628009,2.513474141
424,-2.579311027,0.729772219,3.438681152
425,-7.074652464,2.626385877,3.572168385
426,-9.493896191,2.900737459,4.246682249
427,-2.704233642,3.546971439,4.049737693
428,4.758056207,5.303740231,5.133801825
429,1.372401837,2.753768747,5.986502479
430,0.908569388,2.574346607,7.758934821
431,-0.690444517,3.213252302,7.903580746
432,-2.391424278,1.359793087,6.686498336
433,-3.525624406,1.288570229,8.415541425
434,-1.98397077,-0.458228414,7.897607353
435,-2.077370802,-0.347994147,7.520055427
436,-0.62794055,-0.882796543,5.63729491
437,0.729699102,-1.217508522,4.600472112
438,-3.93251451,1.131523524,5.377626515
439,-4.560436186,2.089667124,6.86550711
440,-1.636961413,3.209190896,6.785365774
441,-2.117876141,3.223470865,6.248775857
442,-1.83156907,2.571227436,7.719920612
443,-13.06798087,2.841143349,8.060226539
444,-9.609012501,1.450669304,6.980644725
445,-8.787617489,0.750862499,6.457556855
446,-10.61859354,0.035096119,5.780477759
447,-9.050279983,-0.591849129,6.051312228
448,-7.077842366,0.546296959,4.014587797
449,-2.68770109,1.123453804,3.220913574
450,-9.454754078,1.657565623,3.482117556
451,-6.870505879,0.646181763,2.555377275
452,-3.038766493,1.251920919,4.020826676
453,-0.889883773,2.460961652,3.572207506
454,-3.182341596,3.048596058,4.289692445
455,-2.815163729,2.935330892,5.294815113
456,-2.308335243,5.130181388,5.345459005
457,-2.903988569,4.192046831,5.173743743
458,2.300834275,4.024268705,7.458066996
459,3.57098359,4.762650334,6.575815098
460,3.532821762,4.246624731,9.285786153
461,3.3362278,3.058621449,9.22535782
462,3.659766231,2.604497792,9.24684151
463,3.369587209,2.98830833,10.15639107
464,-1.402274703,2.496328241,9.777858064
465,-0.567162931,4.735427646,10.2280921
466,-1.177718646,4.003552461,9.326395102
467,-1.853059032,3.305342771,9.252617433
468,-2.911112466,2.80269411,8.502538138
469,-2.103973622,1.775070224,7.309758646
470,-3.374169675,1.528044642,7.97610604
471,1.973735767,2.618717876,7.116238764
472,2.556255412,0.647186058,5.690893772
473,-1.367488197,0.495269708,4.837844242
474,0.938473044,0.18408152,5.83337944
475,-0.191517221,0.356589529,3.519034833
476,-0.370791709,0.608350913,1.992075017
477,-0.934999901,1.082001347,2.167554445
478,-0.590890674,1.612988554,0.834566341
479,-4.779982089,1.849803279,1.836511239
480,-9.342413861,0.373753848,2.879138832
481,-4.2073115,1.545798573,4.91913631
482,-3.139493432,1.738761988,4.799800174
483,-4.439141828,1.813719226,4.804749626
484,-4.522054038,-0.078869317,2.60196387
485,1.260993138,0.367252511,1.464571794
486,1.722426726,0.811813283,-0.642259781
487,-1.073679451,-0.430428957,-1.608258892
488,-2.836873282,1.184757951,-2.253896806
489,-3.936617931,0.529816612,-1.374397888
490,-3.124070469,0.548125267,-0.791760826
491,-2.603993557,3.188749669,-0.740630961
492,-3.295966699,2.426655128,0.417272077
493,-6.969757325,3.711054017,1.266822021
494,-1.749367324,3.015650908,3.595236165
495,-0.42474925,1.5523651,5.645374321
496,-2.626462998,2.262417985,4.470482936
497,-2.560461538,2.538270399,4.640486638
498,-3.631946175,2.590018051,4.989662274
499,-3.147097344,3.383528673,4.319026033
500,-4.288402894,2.345853374,4.752487397
501,2.06732661,1.146298637,3.684123103
502,3.214449029,1.284428805,3.388966688
503,6.108005951,-1.150242611,3.581228732
504,5.308582748,-0.055444092,4.669694333
505,6.688376861,1.146387374,3.487220885
506,5.344130571,4.099862309,6.903959171
507,3.965416368,2.1511918,7.654912916
508,-0.630389392,1.794587341,7.314587578
509,-1.924322342,1.983753867,5.613450232
510,0.265996089,2.174217287,7.236989626
511,-1.720539463,1.857862097,6.672051167
512,0.663592014,3.199075474,7.543158976
513,-1.840529031,1.090858014,7.357545929
514,-3.933064907,2.917147844,8.277617512
515,-1.706397404,2.961955095,8.894654213
516,-1.736496819,1.376433354,8.523927622
517,-2.361308399,0.509054413,6.784102704
518,-0.713797934,1.791941773,4.877963567
519,-2.058340426,2.021277492,5.287019939
520,-1.163991538,1.969806214,6.994985638
521,0.009976768,0.856517021,6.852398836
522,0.04397409,1.010631347,5.634680307
523,-0.275184125,1.671533177,4.178887165
524,1.070168653,0.356622307,3.313136354
525,3.52040549,2.501392765,3.407543586
526,2.573179634,2.582409334,3.895059421
527,3.991910781,2.778179266,3.6405556
528,3.895659763,3.602635952,5.206680522
529,-0.821298403,2.215392344,5.776767027
530,-3.780584879,2.76710626,6.476050727
531,-4.402376652,3.918908398,6.424220867
532,-2.658644357,4.359372494,8.422475658
533,15.84119637,3.389077614,7.937947104
534,9.476947654,1.783209139,8.154853858
535,2.281852705,1.677119664,9.091305413
536,-0.089273757,2.209121725,7.917332753
537,-0.791834135,1.020842959,6.575188602
538,-1.350578953,1.557478464,5.443274642
539,0.825213969,2.104465045,4.968689807
540,-1.139365424,1.867565623,4.298654582
541,0.097940327,3.712339521,5.261520461
542,1.251774954,3.329271305,4.520642341
543,-2.736387043,3.490281813,4.502612426
544,-4.491503607,2.051675695,5.955816018
545,-5.583335747,1.48347234,3.986839612
546,-3.423739898,3.308334748,2.194277428
547,0.540541904,3.388645853,4.551826712
548,1.538492731,2.241084231,5.570316771
549,1.803036952,2.50788935,6.701225868
550,0.322705536,2.739621933,6.526550949
551,-0.870958593,3.333727411,7.629594395
552,2.103603884,1.897040154,6.153302465
553,5.001894088,1.988205647,5.657901862
554,8.020803108,0.906204841,5.304827345
555,6.732072172,-0.185653138,4.454765475
556,6.725163127,-0.254885584,4.196583818
557,4.834408236,2.746069232,3.083382496
558,4.376181528,3.479912634,4.944182537
559,3.487431005,2.865744619,5.241493019
560,3.284169469,4.08132894,4.185574207
561,2.265312018,2.713735467,3.825504111
562,1.567439766,3.794928266,4.653945574
563,-6.775899005,2.631778586,8.500604075
564,-6.200114521,2.292207743,7.678051509
565,-16.16438713,2.40441067,5.882322923
566,-13.43615583,2.673390112,5.963420619
567,-6.303813971,2.839898201,5.310867228
568,-5.091753271,1.464944898,4.7002723
569,-4.401819479,0.757471856,5.501508105
570,-4.259638089,2.609375861,5.104020696
571,-2.68876583,1.967626542,4.96634048
572,-6.769762712,1.946575057,5.070097346
573,-2.330926959,2.152636928,4.404089409
574,1.974784302,1.159949461,5.487460385
575,1.915822246,0.763337261,5.094441998
576,0.502249703,0.977365549,3.526400985
577,0.466930277,1.775217794,3.65225366
578,-2.14820048,3.142435812,4.341396134
579,-4.880488088,2.36815931,5.210347513
580,-3.817779081,0.972119868,4.199288065
581,-5.276812741,1.690757159,3.680795275
582,-1.396259586,1.617569065,3.66031201
583,1.92998727,0.981785727,1.616174107
584,1.424871392,1.536084979,2.615040424
585,0.30658484,0.28654325,3.887582023
586,1.63238187,1.085735099,4.648726962
587,-0.945020758,0.302844098,4.133797187
588,-13.25797515,0.611976909,4.161564976
589,-17.34310487,0.352524269,3.45285
590,-17.45296554,-1.031892161,1.663140812
591,-12.13116112,-0.097290629,0.178288974
592,-6.787526876,0.388327074,-0.365457911
593,-5.156393302,1.378759088,1.198543053
594,-1.871081438,0.642629949,1.108569353
595,-0.780949149,2.389602223,-0.457540259
596,-4.120783854,1.852883764,2.702419923
597,-4.028484761,3.990608704,3.895837259
598,-1.455867988,2.429817142,5.010727792
599,0.285554466,1.548097604,6.413557844
600,0.692550757,0.777185667,6.01868527
601,1.738577928,1.663880041,4.666877434
602,1.644869914,2.51624071,4.107419653
603,3.069062064,2.891608327,5.779276549
604,2.811874429,1.535682906,6.829652431
605,-3.087870634,1.085445163,6.365498773
606,-2.93571238,1.461649087,5.288153462
607,-8.064185439,1.791257231,3.868021879
608,-0.528812718,1.617743189,4.736959304
609,-1.019058615,-0.541704417,2.526810524
610,4.067874489,-1.041130649,-0.11388001
611,2.82733215,0.190791585,-1.432987698
612,4.475713026,-1.530992976,-2.30856033
613,7.12315769,-0.962330335,-1.912214077
614,3.883811299,-1.27738337,-1.234262725
615,4.233324185,0.004194356,-1.160931122
616,1.72106843,-0.349589621,0.681274957
617,0.008154099,0.091016433,-1.419897439
618,0.39460095,0.359855032,-2.996908708
619,-0.083194936,0.441388407,-2.713531375
620,-1.212204963,1.490801575,-0.782584005
621,-1.6366056,0.817456138,0.670480945
622,-0.623774937,2.496542406,0.624384052
623,-1.664612031,1.595175318,2.172860126
624,-1.934225923,1.799670692,3.114288098
625,-2.609372804,3.164453779,4.181924875
626,-1.625240897,3.766818916,5.83749111
627,-3.324581994,3.570393631,7.051789543
628,-0.959122925,4.290598846,6.857930458
629,-2.857852662,2.398236463,7.864769468
630,-1.546398876,2.05907586,7.525623379
631,-2.053308292,2.682630479,7.991017523
632,-3.059704652,2.115170832,7.357180258
633,-2.142656461,2.054218191,7.979463546
634,-0.906021161,2.363973221,8.905488119
635,-0.591323182,2.147144384,9.377904501
636,-0.043503258,2.88600338,9.424686894
637,-0.914547,2.934903073,8.840170627
638,-5.797494091,2.445394642,8.725706141
639,-3.970182947,2.26066514,9.117707697
640,-5.568090626,1.973148475,8.324568286
641,-1.012349084,1.396884845,7.368968693
642,-1.199578991,1.409053749,4.365824428
643,-0.179838378,0.121505927,3.718588803
644,-0.300428705,0.319770374,1.810482545
645,-0.896635249,-1.267698914,0.67276308
646,3.384070475,0.266106526,1.791971581
647,2.280329792,0.647817774,2.979501044
648,2.682693867,1.0364946,2.842626973
649,1.622124344,1.550371533,2.05931871
650,-1.405710608,1.53354186,3.273729143
651,-4.544098511,0.823753515,2.854043871
652,-4.640030959,-0.07114329,2.688811081
653,-5.187504791,0.87499948,2.861401109
654,-4.261911387,-0.107310396,2.462973321
655,-2.46498579,-0.519174969,1.63313922
656,-1.012956552,1.479201442,0.969378557
657,2.609692827,2.25212433,1.014970313
658,-2.286693968,1.597958821,2.212993829
659,-3.073329202,0.939458904,0.741115877
660,-4.377514685,2.422789668,1.78593158
661,-3.219143643,1.612313327,0.56281834
662,-2.902545921,3.5308291,5.061281901
663,-3.13149428,3.179060778,6.687348068
664,-1.64021619,3.949902856,6.637298176
665,-1.025944104,2.91373577,5.531862637
666,0.11506033,1.803036807,6.255125616
667,-0.797435169,1.471409775,5.61405932
668,-1.249908527,1.417427291,3.415359485
669,-1.131488595,2.329829038,2.31528576
670,-2.08778258,1.922310164,2.5362092
671,-1.20462342,1.627023298,4.317263044
672,2.363599085,1.056856391,3.345676614
673,5.198454051,-0.279854521,1.980486304
674,4.167917225,-0.862082872,1.483762239
675,6.97555867,-0.966462257,0.787104697
676,5.522734073,-0.322951068,-1.265006778
677,2.297721825,-0.516673533,-0.566319823
